Feature type	Feature name
Cytoplasm	Cytoplasm_RadialDistribution_FracAtD_AGP_3of4
Cytoplasm	Cytoplasm_RadialDistribution_FracAtD_AGP_4of4
Cytoplasm	Cytoplasm_RadialDistribution_FracAtD_ER_1of4
Cytoplasm	Cytoplasm_RadialDistribution_FracAtD_ER_2of4
Cytoplasm	Cytoplasm_RadialDistribution_FracAtD_ER_3of4
Cytoplasm	Cytoplasm_RadialDistribution_FracAtD_ER_4of4
Cytoplasm	Cytoplasm_RadialDistribution_FracAtD_Mito_1of4
Cytoplasm	Cytoplasm_RadialDistribution_FracAtD_Mito_2of4
Cytoplasm	Cytoplasm_RadialDistribution_FracAtD_Mito_3of4
Cytoplasm	Cytoplasm_RadialDistribution_FracAtD_Mito_4of4
Cytoplasm	Cytoplasm_RadialDistribution_FracAtD_RNA_1of4
Cytoplasm	Cytoplasm_RadialDistribution_FracAtD_RNA_2of4
Cytoplasm	Cytoplasm_RadialDistribution_FracAtD_RNA_3of4
Cytoplasm	Cytoplasm_RadialDistribution_FracAtD_RNA_4of4
Cytoplasm	Cytoplasm_RadialDistribution_MeanFrac_AGP_1of4
Cytoplasm	Cytoplasm_RadialDistribution_MeanFrac_AGP_2of4
Cytoplasm	Cytoplasm_RadialDistribution_MeanFrac_AGP_3of4
Cytoplasm	Cytoplasm_RadialDistribution_MeanFrac_AGP_4of4
Cytoplasm	Cytoplasm_RadialDistribution_MeanFrac_ER_1of4
Cytoplasm	Cytoplasm_RadialDistribution_MeanFrac_ER_2of4
Cytoplasm	Cytoplasm_RadialDistribution_MeanFrac_ER_3of4
Cytoplasm	Cytoplasm_RadialDistribution_MeanFrac_ER_4of4
Cytoplasm	Cytoplasm_RadialDistribution_MeanFrac_Mito_1of4
Cytoplasm	Cytoplasm_RadialDistribution_MeanFrac_Mito_2of4
Cytoplasm	Cytoplasm_RadialDistribution_MeanFrac_Mito_3of4
Cytoplasm	Cytoplasm_RadialDistribution_MeanFrac_Mito_4of4
Cytoplasm	Cytoplasm_RadialDistribution_MeanFrac_RNA_1of4
